,build,package_name,package_version,crate_name,build_crate_hash,edition,block,unsafe_scope,unsafe_scope_span,unsafe_scope_expansion_kind,unsafe_scope_expansion_kind_descr,file_name,line,col,check_mode,call,unsafety,abi,target_crate,call_target_def_path,call_target_summary_key,is_target_trait_item
491501,30504,rsbot,0.2.3,rsbot,90c0bbabe9789526,2015,138945321,49835652,44630419,Root,{{root}},src/linux/key.rs,22,1,UnsafeBlockUserProvided,42939267,Normal,Rust,core,core[e667]::ops[0]::deref[0]::Deref[0]::deref[0],core.ops.deref.Deref.deref,True
952272,84509,pupil,0.1.3,pupil,ac4648bb90e05829,2015,383543656,138160047,123688301,Root,{{root}},src/lexer.rs,135,1,UnsafeBlockUserProvided,118896007,Normal,Rust,core,core[e667]::ops[0]::index[0]::IndexMut[0]::index_mut[0],core.ops.index.IndexMut.index_mut,True
131683,5893,generic-array,0.13.2,generic_array,3e872521be4fb485,2015,29038623,10217502,9096713,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/generic-array-0.13.2/src/lib.rs,439,8,UnsafeBlockUserProvided,8745903,Normal,Rust,core,core[e667]::iter[0]::traits[0]::iterator[0]::Iterator[0]::map[0],core.iter.traits.iterator.Iterator.map,True
651036,47645,xcore,0.1.3,xcore,796d9cbdd8b6f17,2015,220367989,79349814,70645878,Root,{{root}},src/executor.rs,67,24,UnsafeBlockUserProvided,67844619,Unsafe,Rust,std,std[5a7f]::sys[0]::unix[0]::ext[0]::io[0]::FromRawFd[0]::from_raw_fd[0],std.sys.unix.ext.io.FromRawFd.from_raw_fd,True
542562,35584,median,0.3.0,median,ab2a84121221ae7c,2015,164455168,58768369,52497302,Root,{{root}},src/stack.rs,87,21,UnsafeBlockUserProvided,50637941,Normal,Rust,typenum,typenum[a770]::marker_traits[0]::Unsigned[0]::to_usize[0],typenum.marker_traits.Unsigned.to_usize,True
31063,1077,futures-executor-preview,0.3.0-alpha.19,futures_executor,e8bd2ae127d0bdfa,2018,5687869,2039316,1828281,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/futures-executor-preview-0.3.0-alpha.19/src/thread_pool.rs,336,8,UnsafeBlockUserProvided,1723432,Normal,Rust,core,core[e667]::ops[0]::deref[0]::Deref[0]::deref[0],core.ops.deref.Deref.deref,True
144442,6835,oxygengine-core,0.5.3,oxygengine_core,4366b11ce974275c,2018,32815475,11621442,10429095,Root,{{root}},src/assets/database.rs,347,43,UnsafeBlockUserProvided,9998503,Normal,Rust,core,core[e667]::ops[0]::index[0]::Index[0]::index[0],core.ops.index.Index.index,True
956299,85503,evmap,7.1.3,evmap,21c4848397e13a45,2018,387913962,139704054,125088618,Root,{{root}},src/write.rs,556,26,UnsafeBlockUserProvided,120259935,Unsafe,Rust,evmap,evmap[ef99]::shallow_copy[0]::ShallowCopy[0]::shallow_copy[0],evmap.shallow_copy.ShallowCopy.shallow_copy,True
672232,51104,dashmap-shard,0.1.1,dashmap_shard,aa54cf9c2c491438,2018,235259887,84569096,75422816,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/dashmap-shard-0.1.1/src/raw/mod.rs,1390,8,UnsafeBlockUserProvided,72457047,Normal,Rust,core,core[e667]::ops[0]::try[0]::Try[0]::from_error[0],core.ops.try.Try.from_error,True
743649,59498,seckey,0.9.2,seckey,5ad36677b54d458d,2015,271584016,97624105,87387892,Root,{{root}},src/seckey.rs,156,8,UnsafeBlockUserProvided,84015247,Normal,Rust,core,core[e667]::ops[0]::try[0]::Try[0]::into_result[0],core.ops.try.Try.into_result,True
619775,44883,vmap,0.1.3,vmap,3110b52d1496426f,2015,207026882,74269696,66137847,Root,{{root}},src/io/ring.rs,64,8,UnsafeBlockUserProvided,63800732,Normal,Rust,core,core[e667]::convert[0]::From[0]::from[0],core.convert.From.from,True
32620,1419,async-stream,0.2.0,async_stream,34f66e506e15eef8,2018,7122606,2563566,2298163,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/async-stream-0.2.0/src/yielder.rs,54,26,UnsafeBlockUserProvided,2181462,Normal,Rust,core,core[e667]::ops[0]::deref[0]::DerefMut[0]::deref_mut[0],core.ops.deref.DerefMut.deref_mut,True
1030075,98809,sendfd,0.3.0,sendfd,5a173d5d4ab85980,2015,447911458,161509585,144686307,Root,{{root}},src/lib.rs,78,4,UnsafeBlockUserProvided,139065012,Normal,Rust,core,core[e667]::iter[0]::traits[0]::collect[0]::IntoIterator[0]::into_iter[0],core.iter.traits.collect.IntoIterator.into_iter,True
46491,2001,goblin,0.1.3,goblin,226cbd7a293e9e27,2018,10068927,3606546,3228391,MacroBang,elf_section_header_std_impl!,/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/goblin-0.1.3/src/elf/section_header.rs,335,16,UnsafeBlockUserProvided,3032809,Normal,Rust,core,core[e667]::ops[0]::try[0]::Try[0]::from_error[0],core.ops.try.Try.from_error,True
22499,824,log,0.4.10,log,9b6a05699e05c5e,2015,4326987,1607375,1453387,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/log-0.4.10/src/lib.rs,1268,4,UnsafeBlockUserProvided,1324198,Normal,rust-call,core,core[e667]::ops[0]::function[0]::FnOnce[0]::call_once[0],core.ops.function.FnOnce.call_once,True
272696,12450,mujs,0.0.3,mujs,2255ceeaf8eda4e3,2015,57452429,20471046,18371182,Root,{{root}},src/lib.rs,981,8,UnsafeBlockUserProvided,17690718,Normal,Rust,core,core[e667]::ops[0]::deref[0]::Deref[0]::deref[0],core.ops.deref.Deref.deref,True
825220,68424,imxrt1062-sai1,0.1.0,imxrt1062_sai1,a0290ed1dbd12103,2018,309879777,111991879,100341905,Root,{{root}},src/tcr2.rs,467,8,UnsafeBlockUserProvided,96175934,Normal,Rust,core,core[e667]::convert[0]::Into[0]::into[0],core.convert.Into.into,True
234819,9724,graphannis-capi,0.7.1,graphannis_capi,c38324ab90ed5138,2015,45351908,16130472,14486870,MacroBang,cstr!,src/lib.rs,32,8,UnsafeBlockUserProvided,13978708,Normal,Rust,core,core[e667]::convert[0]::From[0]::from[0],core.convert.From.from,True
